"Date";"Team";"Player";"Notes"
"1983-02-14";"Clippers";"Jerome Whitehead";"arthroscopic surgery on right knee (out for season)"
"1983-02-19";"Lakers";"Bob McAdoo";"sprained right foot (DTD)"
"1983-02-23";"Nets";"Otis Birdsong";"stress fracture in pelvis (out indefinitely)"
"1983-02-26";"76ers";"Julius Erving";"scratched cornea in right eye (left game)"
"1983-03-01";"Bulls";"Orlando Woolridge";"torn ligament in right knee (out for season)"
"1983-03-01";"Bulls";"Ronnie Lester";"fractured right kneecap (out for season)"
"1983-03-01";"Clippers";"Bill Walton";"lack of fluid in right ankle (DNP)"
"1983-03-01";"Warriors";"Larry Smith";"nerve inflammation in right forearm (out for season)"
"1983-03-08";"Lakers";"Bob McAdoo";"surgery on right toe (out 2-3 weeks) (date approximate)"
"1983-03-14";"76ers";"Julius Erving";"sprained wrist (DTD)"
"1983-03-14";"Pistons";"Kent Benson";"arthroscopic surgery on left ankle (out for season)"
"1983-04-01";"Jazz";"Ben Poquette";"fractured finger on left hand (out for season)"
"1983-04-04";"Suns";"Dennis Johnson";"sprained ankle (out 1-2 games)"
"1983-04-05";"Clippers";"Terry Cummings";"heart condition (pulse reached 300 BPM during game)"
"1983-04-10";"76ers";"Moses Malone";"right knee inflammation (DTD) (date approximate)"
"1983-04-21";"76ers";"Moses Malone";"left knee inflammation (DTD)"
"1983-05-13";"Knicks";"Ed Sherod";"surgery on right knee to remove cartilage"
"1983-06-02";"Bucks";"Dave Cowens";"surgery on right knee to repair torn tendon"
"1983-07-06";"Bucks";"Bob Lanier";"arthroscopic surgery on left knee to remove fragments (date 07-21 per some sources)"
"1983-08-11";"Cavaliers";"John Bagley";"surgery on knee to remove torn cartilage (out 3-4 weeks)"
"1983-08-31";"Rockets";"Ralph Sampson";"swollen/strained left foot (DTD)"
"1983-10-03";"Lakers";"Kareem Abdul-Jabbar / Lew Alcindor";"viral hepatisis (DTD)"
"1983-10-10";"Lakers";"Kareem Abdul-Jabbar / Lew Alcindor";"returned to lineup"
"1983-10-12";"Sonics";"Tom Chambers";"broken right hand (DTD)"
"1983-10-19";"Knicks";"Hubie Brown";"head coach hospitalized with chest pains"
"1983-10-30";"Nets";"Clarence Walker / Foots Walker";"foot injury (DNP)"
"1983-11-15";"Suns";"James Edwards";"right hand injury (out ~2 weeks) (date approximate)"
"1983-11-18";"76ers";"Bobby Jones (C.)";"pinched nerve in left leg (DTD)"
"1983-11-24";"Suns";"Rick Robey";"right knee inflammation (DTD)"
"1983-12-02";"Mavericks";"Jim Spanarkel";"broken wrist (out ~6 weeks)"
"1983-12-24";"76ers";"Moses Malone";"right ankle injury (DTD) (date approximate)"
"1984-01-05";"Bucks";"Nate Archibald";"placed on IL with pulled right hamstring"
"1984-01-06";"76ers";"Julius Erving";"bruised forearm (DTD)"
"1984-01-06";"Suns";"Maurice Lucas";"strained left knee (DTD)"
"1984-01-20";"Bulls";"Rod Higgins";"head injury (left game)"
"1984-01-21";"Bulls";"Rod Higgins";"consussion (DTD)"
"1984-01-23";"76ers";"Leo Rautins";"stress fracture in left foot (out 4-6 weeks)"
"1984-02-01";"Suns";"Maurice Lucas";"strained calf (DTD)"
"1984-02-02";"76ers";"Clemon Johnson";"sprained ankle (DTD)"
"1984-02-04";"Clippers";"Michael Brooks";"torn ACL in right knee (out for season)"
"1984-02-06";"Clippers";"Michael Brooks";"surgery on right knee to repair torn ACL (out for season)"
"1984-02-11";"Clippers";"Bill Walton";"sprained knee / flu (DTD) (date approximate)"
"1984-02-13";"Clippers";"Bill Walton";"returned to lineup"
"1984-02-13";"Sonics";"David Thompson (a)";"pulled groin (DTD) (date approximate)"
"1984-02-17";"Rockets";"Robert Reid";"arthroscopic surgery on left knee (out ~3 weeks)"
"1984-02-23";"Cavaliers";"Ben Poquette";"broken wrist (out for season)"
"1984-02-23";"Lakers";"Bob McAdoo";"hospitalized with upper respiratory infection (DTD)"
"1984-02-24";"Hawks";"Eddie Jordan";"sprained ankle (DTD)"
"1984-03-09";"Bucks";"Nate Archibald";"pulled right hamstring (out 3-4 weeks)"
"1984-03-10";"Sonics";"David Thompson (a)";"torn ligaments in left knee (suffered in disco scuffle)"
"1984-03-18";"76ers";"Clint Richardson";"bruised kidney (DTD)"
"1984-03-18";"76ers";"Franklin Edwards";"broken left arm (out for season)"
"1984-03-22";"76ers";"Clint Richardson";"bruised kidney (DNP)"
"1984-03-22";"Jazz";"Adrian Dantley";"respiratory illness (DNP)"
"1984-03-26";"Sonics";"David Thompson (a)";"surgery on left knee to repair torn ligaments (date approximate)"
"1984-03-27";"Kings";"Larry Drew I";"strained ligaments in left foot (DTD)"
"1984-04-02";"76ers";"Bobby Jones (C.)";"right knee injury (DTD)"
"1984-04-02";"76ers";"Clint Richardson";"bruised kidney (DTD)"
"1984-04-02";"76ers";"Maurice Cheeks";"right knee injury (DTD)"
"1984-04-09";"Lakers";"Byron Scott";"sprained knee (DTD)"
"1984-04-11";"76ers";"Bobby Jones (C.)";"spained left foot (out for rest of regular season)"
"1984-04-13";"Bucks";"Nate Archibald";"tear in right hamstring (out for season)"
"1984-05-29";"Suns";"Rick Robey";"surgery on left heel to remove bone spur"
"1984-05-30";"Bucks";"Lorenzo Romar";"surgery on right knee to remove bone chips"
"1984-09-13";"Hawks";"Randy Wittman";"arthroscopic surgery on left knee to repair damaged cartilage and ligaments"
"1984-10-01";"Pacers";"Clark Kellogg";"arthroscopic surgery on left knee (out 10+ days)"
"1984-10-05";"Knicks";"Marvin Webster";"anemia and hepatitis (hospitalized)"
"1984-10-05";"Nuggets";"Kiki Vandeweghe";"back injury (DTD)"
"1984-10-07";"Bullets";"Tom Sewell";"pulled hamstring (DTD)"
"1984-10-09";"Suns";"Walter Davis (P.)";"three torn/sprained ligaments in left knee (out 3-4 weeks)"
"1984-10-10";"Cavaliers";"Lonnie Shelton";"arthroscopic surgery on knee (date approximate)"
"1984-10-10";"Cavaliers";"Paul Thompson";"broken rib (out 1-3 weeks)"
"1984-10-23";"Nuggets";"Kiki Vandeweghe";"returned to lineup"
"1984-10-29";"Knicks";"James Bailey";"passed out during practice and hospitalized (DTD)"
"1984-11-05";"Pistons";"Dan Roundfield";"strained left calf muscle (out 4 games)"
"1984-11-09";"Knicks";"Bill Cartwright";"fractured metatarsal bone in left foot (out indefinitely)"
"1984-11-14";"Suns";"Rick Robey";"surgery to remove bone growth in right heel (out for season)"
"1984-11-23";"Suns";"Mike Sanders";"cartilage damage in left knee (out 2 months)"
"1984-11-26";"Suns";"Kyle Macy";"strained hip (out 1 week)"
"1984-11-27";"Hawks";"Antoine Carr";"broken left thumb (out 6+ weeks)"
"1984-12-05";"Lakers";"Earl Jones";"broken bone in right ankle (out indefinitely)"
"1984-12-05";"Nets";"Albert King";"DNP"
"1984-12-05";"Nets";"Mike O'Koren";"DNP"
"1984-12-07";"Bullets";"Frank Johnson";"broken fourth metatarsal bone in his left foot (out indefinitely)"
"1984-12-13";"Nets";"Darryl Dawkins";"released from hospital"
"1984-12-14";"Nets";"Darwin Cook";"stress fracture in ankle (out 2-3 weeks)"
"1984-12-22";"Rockets";"Allen Leavell";"right ankle inflammation (out 7-10 days)"
"1985-01-02";"Bulls";"Caldwell Jones";"broken right middle finger (out 4-6 weeks)"
"1985-01-03";"Suns";"Kyle Macy";"right foot injury (out 5+ games)"
"1985-01-04";"Lakers";"Earvin Johnson / Magic Johnson";"sprained index finger (DTD)"
"1985-01-05";"Blazers";"Kenny Carr";"arthroscopic surgery on left knee (out 3-6 weeks)"
"1985-01-07";"Mavericks";"Jay Vincent";"pulled hamstring (out 2+ games)"
"1985-01-08";"Lakers";"Earvin Johnson / Magic Johnson";"sprained index finger (DNP)"
"1985-01-11";"Knicks";"Bernard King";"sprained right ankle (DTD)"
"1985-01-16";"Jazz";"Mitchell Anderson / J.J. Anderson";"bruised right cheekbone (DTD)"
"1985-01-17";"Jazz";"Adrian Dantley";"bruised thigh & swollen knee (DTD)"
"1985-01-23";"Cavaliers";"Paul Thompson";"stress fracture in shin bone (out 4-6 weeks)"
"1985-01-23";"Pistons";"Dan Roundfield";"arthroscopic surgery on left knee (out 3-4 weeks)"
"1985-01-28";"Lakers";"Mitch Kupchak";"40-stitch cut over right eye (DTD)"
"1985-02-11";"Pistons";"Kelly Tripucka";"sprained ankle (DTD) (date approximate)"
"1985-02-15";"76ers";"Clemon Johnson";"leg injury (out 2+ games)"
"1985-02-19";"76ers";"Clemon Johnson";"placed in traction to treat sciatic nerve pain (out 2-3 weeks)"
"1985-02-22";"Celtics";"Cedric Maxwell";"arthroscopic surgery on knee (out 3-4 weeks)"
"1985-02-25";"Bullets";"Darren Daye";"flu (DTD)"
"1985-03-06";"Cavaliers";"Edgar Jones";"knee injury (DTD)"
"1985-03-12";"Blazers";"Jim Paxson Jr.";"surgery on dislocated finger (DTD)"
"1985-03-12";"Pistons";"Kent Benson";"strained ligaments in knee (out ~2 weeks)"
"1985-03-18";"76ers";"Clint Richardson";"sprained left ankle (DTD)"
"1985-03-18";"76ers";"Moses Malone";"sprained right ankle (DTD)"
"1985-03-21";"Nets";"Otis Birdsong";"broken right hand (out for season)"
"1985-03-22";"Suns";"Walter Davis (P.)";"sprained right ankle (DTD)"
"1985-03-23";"Knicks";"Bernard King";"torn ACL in knee (out indefinitely)"
"1985-04-01";"Pacers";"Jerry Sichting";"stress fracture in right foot (out for season)"
"1985-04-01";"Suns";"Rick Robey";"arthroscopic surgery on left knee (out for season)"
"1985-04-02";"Sonics";"Jack Sikma";"surgery on left ring finger to repair torn ligament (out ~3 months)"
"1985-04-03";"Spurs";"George Gervin";"sprained ankle (DTD)"
"1985-04-09";"Spurs";"Alvin Robertson";"broken foot (out for season)"
"1985-04-09";"Suns";"Walter Davis (P.)";"surgery on right ankle to remove bone spurs and on left hand to remove cyst"
"1985-04-28";"Jazz";"Mark Eaton";"torn MCL in right knee (out for season)"
"1985-04-30";"Jazz";"Mark Eaton";"surgery on right knee to repaor torn MCL (out for season)"
"1985-05-13";"Nuggets";"Lafayette Lever / Fat Lever";"arthroscopic surgery on right knee"
"1985-06-07";"Cavaliers";"Phil Hubbard";"sore left knee (DTD)"
"1985-06-10";"Cavaliers";"Phil Hubbard";"arthroscopic surgery on left knee to remove loose cartilage"
"1985-08-04";"Knicks";"Eddie Lee Wilkins";"torn ACL in left knee (out indefinitely)"
"1985-08-06";"Knicks";"Eddie Lee Wilkins";"arthroscopic surgery on left knee to repair torn ACL and cartilage damage (out for season)"
"1985-08-16";"Celtics";"Larry Bird";"sore right elbow (DTD)"
"1985-09-18";"76ers";"Bobby Jones (C.)";"surgery on left ankle to remove bone spurs (out indefinitely)"
"1985-09-28";"Cavaliers";"Lonnie Shelton";"left knee injury (out indefinitely)"
"1985-10-01";"Cavaliers";"Lonnie Shelton";"arthroscopic surgery on left knee"
"1985-10-03";"Jazz";"Darrell Griffith";"fractured bone in left foot (out for season)"
"1985-10-05";"Knicks";"Bill Cartwright";"bruised left foot (out ~2 weeks)"
"1985-10-12";"Celtics";"Larry Bird";"sore lower back (DTD)"
"1985-10-19";"Warriors";"Greg Ballard";"arthroscopic surgery on right knee to repair torn cartilage (out 2-4 weeks)"
"1985-10-25";"Lakers";"Earvin Johnson / Magic Johnson";"shingles (DTD)"
"1985-10-28";"Suns";"Bernard Thompson";"stress fracture in left ankle (out 3-4 weeks)"
"1985-10-29";"Bulls";"Michael Jordan (J.)";"broken navicular tarsal bone in left foot"
"1985-10-29";"Knicks";"Bill Cartwright";"broken metatarsal bone in his left foot (out 4+ weeks)"
"1985-11-04";"76ers";"Andrew Toney";"stress fracture in right foot (out ~3 weeks)"
"1985-11-05";"Clippers";"Derek Smith";"torn cartilage in left knee (date approximate)"
"1985-11-06";"Knicks";"James Bailey";"partial tear in left knee (out 1-3 weeks)"
"1985-11-10";"Clippers";"Derek Smith";"arthroscopic surgery on left knee to repair torn cartilage (date approximate)"
"1985-11-18";"Blazers";"Clyde Drexler";"stress fracture in left leg"
"1985-11-18";"Bulls";"Quintin Dailey";"completed drug rehab program"
"1985-11-21";"Cavaliers";"World B. Free / Lloyd Free";"pulled right hamstring (out 1+ weeks)"
"1985-12-03";"76ers";"Sedale Threatt";"pulled abdominal muscle (out indefinitely)"
"1985-12-04";"Blazers";"Kiki Vandeweghe";"bruised bone in lower right leg (DTD)"
"1985-12-11";"Bullets";"Jeff Ruland";"sprained right ankle (DTD)"
"1985-12-12";"Celtics";"Dennis Johnson";"hyperextended left thumb (DTD)"
"1985-12-25";"Knicks";"Patrick Ewing Sr.";"sprained right knee"
"1985-12-27";"Knicks";"Patrick Ewing Sr.";"sprained right knee (DNP)"
"1985-12-29";"Bullets";"Frank Johnson";"broken fourth metatarsal bone in his left foot (DTD)"
"1986-01-15";"76ers";"Charles Barkley";"lower back injury (DNP)"
"1986-01-15";"Spurs";"Johnny Moore";"diagnosed with desert fever (out for season)"
"1986-01-24";"Knicks";"Bill Cartwright";"returned to lineup"
"1986-03-01";"Lakers";"Mitch Kupchak";"knee injury (date approximate)"
"1986-03-26";"Knicks";"Hubie Brown";"flu (missed game)"
"1986-04-09";"Bucks";"Derrick Rowland";"arthroscopic surgery on knee"
"1986-09-29";"Suns";"Charles Jones (A.)";"stress fracture in shin (out 2+ months)"
"1986-10-02";"Celtics";"Bill Walton";"fractured left pinky finger (DTD)"
"1986-10-07";"76ers";"Cliff Robinson";"minor separation of right shoulder (out ~1 week)"
"1986-10-07";"76ers";"Roy Hinson";"sore right knee (DTD)"
"1986-10-12";"Suns";"William Bedford";"surgery on right knee to remove bone chips"
"1986-10-13";"Knicks";"Bill Cartwright";"left hand injury (out ~3 weeks)"
"1986-10-16";"Hawks";"Antoine Carr";"burns on right foot and lower right leg (DTD)"
"1986-10-18";"Hawks";"Antoine Carr";"discharged from hospital"
"1986-10-21";"Bulls";"Gene Banks";"broken right foot (out 6-7 weeks)"
"1986-10-23";"Bucks";"Scott Skiles";"bulging disc in back (out 3-5 weeks)"
"1986-10-23";"Celtics";"Danny Ainge";"injured vertebrae (missed entire pre-season)"
"1986-10-25";"Lakers";"A.C. Green";"torn ligament in left thumb (out 2-3 weeks)"
"1986-11-01";"Nuggets";"Calvin Natt";"Achilles tendon injury (out for season) (date approximate)"
"1986-11-08";"Blazers";"Sam Bowie";"broken right leg (date approximate)"
"1986-11-11";"76ers";"Jeff Ruland";"swollen left knee (DTD)"
"1986-11-12";"76ers";"Jeff Ruland";"arthroscopic surgery on left knee (date approximate)"
"1986-11-19";"76ers";"Danny Vranes";"broken nose (DTD)"
"1986-11-20";"Bullets";"Frank Johnson";"broken fourth metatarsal bone in his left foot (out indefinitely)"
"1986-11-20";"Clippers";"Marques Johnson";"bruised spinal cord in neck (out 2-3 weeks)"
"1986-11-20";"Suns";"Bernard Thompson";"surgery on left shin to repair stress fracture"
"1986-11-24";"Lakers";"Kurt Rambis";"dislocated right index finger (DTD)"
"1986-12-08";"Rockets";"Robert Reid";"arthroscopic surgery on right knee (date approximate)"
"1986-12-24";"Hawks";"Anthony Webb / Spud Webb";"right knee injury (out indefinitely)"
"1986-12-25";"Hawks";"Anthony Webb / Spud Webb";"arthroscopic surgery on left knee (out indefinitely)"
"1986-12-27";"Jazz";"Darrell Griffith";"shoulder injury (out 10-15 days) (date approximate)"
"1987-01-07";"Celtics";"Larry Bird";"strained lower back (DNP)"
"1987-01-08";"Bucks";"Paul Pressey";"surgery on right ring finger to repair partially divided tendon (out 4-5 weeks)"
"1987-01-14";"Suns";"Larry Nance";"sprained right ankle (out 10-14 days)"
"1987-01-20";"Warriors";"Chris Washburn";"kidney ailment (out 3 games)"
"1987-02-18";"76ers";"Julius Erving";"fractured middle finger on right hand (out ~6 games)"
"1987-02-20";"Knicks";"Pat Cummings";"right ring finger injury (out 2+ games)"
"1987-02-28";"Celtics";"Dennis Johnson";"foot injury (DTD)"
"1987-03-06";"Blazers";"Sam Bowie";"bone graft surgery on right leg"
"1987-03-14";"Knicks";"Jawann Oldham";"injured MCL in left knee (out indefinitely)"
"1987-04-02";"Sonics";"Alton Lister";"broken bone in foot (out indefinitely)"
"1987-04-30";"Jazz";"Rickey Green";"hamstring injury (DTD)"
"1987-05-10";"Celtics";"Kevin McHale";"sprained right ankle (DTD)"
